61,cmn,不要再把我当成“正常” 人!,4239680,eng,Don't treat me as common people.
136402,cmn,你记不记得我们认识的那一天？,7156416,eng,Do you remember the day we met?
180700,cmn,我喜欢旅行。,7156426,eng,I like travelling.
180706,cmn,我在旅行社工作.,7156430,eng,I work at a travel agency.
180712,cmn,我跟父母住在一起.,7156432,eng,I live with my mother and father.
181028,cmn,他没有孩子.,3763335,eng,I don't have children.
330588,cmn,我把旅费耗光了。,262216,eng,I have run out of my traveling expenses.
330589,cmn,我在旅行中用了地图。,7156437,eng,I used a map during my trip.
332499,cmn,他的医生建议他戒烟。,1477155,eng,His doctor advised him to quit smoking.
332501,cmn,他用了一些手段来和Nancy私下交谈。,292273,eng,He contrived a means of speaking to Nancy privately.
332556,cmn,你可以想象在月球上行走吗？,4753803,eng,Can you imagine walking around on the moon?
332560,cmn,不要拉我的腿！,5226611,eng,Stop kidding me.
332566,cmn,我什么都不想喝。,1477114,eng,I don't want to drink anything.
332585,cmn,什么时候开始？,4866983,eng,When will it start?
332598,cmn,我做完我的功课后，就读这本书。,2149741,eng,This is the book I read after finishing my homework.
332604,cmn,最后三周，Jim一直试图带我出去吃饭。,53318,eng,Jim has been trying to take me out to dinner for the last three weeks.
332605,cmn,这狗跑得多快啊！,4577217,eng,This dog runs very fast!
332618,cmn,他请求她给予优待。,4753801,eng,He asked her to give him preferential treatment.
332622,cmn,在这种天气下，我最好是待在家里而不要出去。,4753798,eng,In this kind of weather it's best if I stay at home and don't go outside.
332638,cmn,自由是有代价的。,4577227,eng,Freedom has a cost.
332639,cmn,几分钟后，电话响了。,7780178,eng,"A few minutes later, the telephone rang."
332748,cmn,他尝了芝士蛋糕。,4577233,eng,He tried a cheesecake.
332749,cmn,她无法直视我的脸。,314304,eng,She couldn't look me straight in the face.
332752,cmn,我买了一盏古老的灯。,4577232,eng,I bought an ancient lamp.
332758,cmn,爱，就是一个人把另一个人的心揉碎的过程。,1102851,eng,Love is the process of breaking and mending the heart of another.
332760,cmn,她有很多事要做。,4577231,eng,She has a lot of things to do.
332798,cmn,有什么比失明更不幸的呢？,264975,eng,What greater misfortune is there than to go blind?
332805,cmn,我们的孩子喜欢狗，但我更喜欢猫。,1266415,eng,"Our child likes dogs, but I prefer cats."
332819,cmn,我想看看。,5226492,eng,I want to have a little look.
332827,cmn,除了雨天，我都是骑车去上班的。,1360705,eng,"Apart from on rainy days, I always ride my bike to work."
332833,cmn,她放下手中的针线活，并站了起来。,316977,eng,She put aside the sewing and stood up.
332845,cmn,我厌倦了他的老笑话。,260617,eng,I was bored with his old jokes.
332857,cmn,我们有你的尺寸，但是没有那个颜色。,4753829,eng,"We have your size, but not in that color."
332868,cmn,听到这个让我感觉热血沸腾。,41756,eng,It made my blood boil to hear that.
332877,cmn,我不会说法语，也不会说德语。,4753823,eng,I can't speak French or German.
332881,cmn,我的房间号是多少？,4662375,eng,What's my room number?
332893,cmn,这只是偶发事件。,4753822,eng,That only happens occasionally.
332898,cmn,你支持还是反对堕胎？,1544425,eng,Do you support or oppose abortion?
332921,cmn,乡间有很多树。,4753808,eng,There are lots of trees in the countryside.
332938,cmn,这是这个诗人出生的村子。,55910,eng,This is the village where the poet was born.
332941,cmn,他是美国人。,5226616,eng,It's American.
332944,cmn,她不会乘飞机因为害怕坠机。,315878,eng,She won't take an airplane for fear of a crash.
332961,cmn,天知道他去哪儿了。,4753838,eng,God only knows where he has gone.
332970,cmn,他弟弟是个有名的足球选手。,4753835,eng,His little brother is a famous soccer player.
332989,cmn,我猜想你可能是对的。,2408134,eng,I think perhaps you're right.
332996,cmn,我对你的厚颜无耻感到惊讶。,17193,eng,I am amazed at your audacity.
333003,cmn,Steve看上去很高兴。,4971604,eng,Steve looks quite happy.
333014,cmn,请你把冷气调高点。,4753832,eng,Please turn up the AC a little bit.
333038,cmn,我一直忙于写一部短篇小说。,7714851,eng,I've been busy writing a short story.
333039,cmn,我的工作是洗碗。,7801460,eng,My job is washing dishes.
333078,cmn,那个穿棕色大衣的女人是谁？,7824132,eng,Who's the woman in the brown coat?
333122,cmn,我不同意你的看法。,4694904,eng,I do not agree with you.
333142,cmn,你能猜到我有什么吗？,4755172,eng,Can you guess what I have here?
333202,cmn,他各科全优。,300758,eng,He won the prize for excellence in all subjects.
333222,cmn,健康与运动及节制密不可分。,238985,eng,Good health is inseparable from exercise and moderation.
333224,cmn,我同意。,4530158,eng,I agree with that.
333229,cmn,死刑在美国的很多州都被废除了。,67568,eng,The death penalty had been done away with in many states in the USA.
333240,cmn,现在是行动的时候了。,2264340,eng,Now is the time to act.
333350,cmn,让我进去。,3334006,eng,Let me come in.
333354,cmn,我们班有四十个学生。,506898,eng,There are forty students in our class.
333383,cmn,我能用一下你的铅笔吗？,4755318,eng,Can I borrow your pencil for a bit?
333388,cmn,秋天树叶会掉落。,4755327,eng,The leaves fall off the trees in the fall.
333429,cmn,我尽快需要。,430022,eng,I need it as quickly as possible.
333431,cmn,天气又冷又湿。,637881,eng,"The weather was not only cold, it was also damp."
333458,cmn,那个男人，就是他的孩子很友好的那个.,4971602,eng,"That man, the child of whom is very friendly."
333459,cmn,记者租了间很贵的房。,4971601,eng,The reporter rented an expensive room.
333461,cmn,他有个很有意思但很费功夫的工作。,5941382,eng,He has an interesting job but it requires a lot of skill.
333466,cmn,他们过着和平的生活。,1680667,eng,They live in peace.
333467,cmn,他希望已经成功了。,7787224,eng,He hopes he has already succeeded.
333470,cmn,我有两本英语书。,1049955,eng,I have two English books.
333482,cmn,"过去,我是中学生,现在我是大学生.",8056675,eng,"In the past, I was a middle school student. Now I am a college student."
333494,cmn,汉语字是很美丽的。,387696,eng,Chinese characters are very beautiful.
333524,cmn,我们把书桌整理干净吧。,7816784,eng,Let's clean up the whole desk.
333585,cmn,现在休息一下。,7779344,eng,Try resting for now.
333586,cmn,你最好去一下医务室。,4971603,eng,You'd better go to the infirmary.
333589,cmn,我喉咙很干。,5226624,eng,My throat is parched.
333603,cmn,"王小明说英语,可是他的英语书不多.",1423472,eng,"Wang Xiaoming speaks English, but doesn't have a lot of English books."
333611,cmn,这是谁的语法书?,3953101,eng,Whose grammar book is this?
333612,cmn,"我的班不大,只有十一个学生.",7797076,eng,My class is not very big; there are only 11 students.
333615,cmn,他说的词典图书馆没有.,437982,eng,The dictionary he talked about isn't available in the library.
333617,cmn,说汉语的人都在吗?,2896293,eng,Do all of you speak Chinese?
333619,cmn,"王小明还没有去过美国,他很想明年去.",385250,eng,Xiaoming Wang has never been to America. He really wants to go next year.
333623,cmn,他现在在法国工作.,895080,eng,He is now working in France.
333625,cmn,"他还没有去过法国,他很想明年去.",1039624,eng,He still hasn't been to France; he really wants to go next year.
333632,cmn,"你有几个姐姐,几个哥哥?",7829887,eng,How many sisters and brothers do you have?
333633,cmn,"妈妈比爸爸大,",482368,eng,Mom is older than Dad.
333653,cmn,这部电影很无聊，最好的部分是结局。,504612,eng,This film is really boring - the best bit is when it finishes.
333662,cmn,如果他再努力一点，就可能已经成功了。,31436,eng,"With just a little more effort, he would have succeeded."
333671,cmn,我不喜欢你嘲笑她的方式。,252706,eng,I don't like the way you laugh at her.
333676,cmn,谁都知道知足常乐。,240833,eng,Everybody knows that happiness is in contentment.
333678,cmn,他明天会在家。,5226673,eng,He'll be back home tomorrow.
333765,cmn,那个我认为会通过考试的朋友失败了。,246796,eng,The friend who I thought would pass the exam failed it.
333774,cmn,达芬奇比别人高瞻远瞩。,41254,eng,Da Vinci could see farther than others.
333782,cmn,很有可能去掉C元素会得出同样的结果。,324914,eng,It is highly probable that the deletion of element C will still yield the same result.
333792,cmn,他移开，让卡车通过。,292201,eng,He pulled aside to let a truck pass.
333793,cmn,那儿除了我，一个人都没有。,50966,eng,There was no one there besides me.
333799,cmn,把你的课本翻到第十页。,43012,eng,And open your textbook at page ten.
333800,cmn,这是不是意味着你不会来了？,43015,eng,Does that mean you won't come?
333801,cmn,那（就）解释了为什么门是开着的。,43017,eng,That accounts for why the door was open.
333804,cmn,１、３、５都是奇数。,73502,eng,"One, three, and five are odd numbers."
333806,cmn,我走了大约1英里（路）。,1137292,eng,I walked about 1 mile.
333808,cmn,他有2个孩子，一个4岁，另一个1岁。,288569,eng,"He has two children, aged 4 and 1."
333816,cmn,去北海道滑雪。,504192,eng,I will go skiing in Hokkaido.
333821,cmn,他伸直了他的手臂。,4971600,eng,He stretched his arm.
333846,cmn,你回来之前我已经走了。,2745897,eng,I had already left before you returned.
333850,cmn,你觉得对此该做什么？,48368,eng,What do you think should be done about it?
333869,cmn,那是我每天在火车上看到的男人。,4995747,eng,That is the man I see every day on the train.
333951,cmn,瑞士位于法国、意大利、奥地利和德国之间。,1211528,eng,"Switzerland is located between France, Italy, Austria and Germany."
333966,cmn,爱尔兰和英格兰被海分割。,520140,eng,A sea separates Ireland and England.
333990,cmn,你打算在这个国家待多久？,1211535,eng,How long do you plan on staying in this country?
333991,cmn,你可能听说过。,1211533,eng,You might have heard of it.
